"","Day","Temperature","Initial.Weight","Final.Weight","Contaminant.Predator.Concentration"
"1",1,16.29999924,70,70.3071091040596,1.53472185121287e-05
"2",2,16.5137923696552,70.3071091040596,70.6185472362948,1.54591190014853e-05
"3",3,16.7275854993103,70.6185472362948,70.9342296500349,1.56056673749943e-05
"4",4,16.9413786289655,70.9342296500349,71.2540583341488,1.57491490949292e-05
"5",5,17.1551717586207,71.2540583341488,71.5779209882981,1.58894491782852e-05
"6",6,17.3689648882759,71.5779209882981,71.9056899272096,1.60263537445856e-05
"7",7,17.582758017931,71.9056899272096,72.237220908993,1.61596420515022e-05
"8",8,17.7965511475862,72.237220908993,72.5723518821566,1.62890858860893e-05
"9",9,18.0103442772414,72.5723518821566,72.9109016455494,1.64144491296247e-05
"10",10,18.2241374068965,72.9109016455494,73.2526684150039,1.65354872615082e-05
"11",11,18.4379305365517,73.2526684150039,73.5974282899478,1.66519467939759e-05
"12",12,18.6517236662069,73.5974282899478,73.9449336126917,1.67635646275493e-05
"13",13,18.8655167958621,73.9449336126917,74.2949112124817,1.68700673156542e-05
"14",14,19.0793099255172,74.2949112124817,74.647060525711,1.69711702250982e-05
"15",15,19.2931030551724,74.647060525711,75.0010515829114,1.70665765770608e-05
"16",16,19.5068961848276,75.0010515829114,75.3565228522694,1.71559763508436e-05
"17",17,19.7206893144828,75.3565228522694,75.7130789284278,1.7239045029797e-05
"18",18,19.9344824441379,75.7130789284278,76.0702880542073,1.73154421654761e-05
"19",19,20.1482755737931,76.0702880542073,76.4276794615999,1.73848097320787e-05
"20",20,20.3620687034483,76.4276794615999,76.7847405169072,1.74467702384305e-05
"21",21,20.5758618331034,76.7847405169072,77.1409136531839,1.75009245590374e-05
"22",22,20.7896549627586,77.1409136531839,77.4955930711523,1.754684943879e-05
"23",23,21.0034480924138,77.4955930711523,77.8481211874131,1.75840946174936e-05
